DataRotation: 41 0 8
RootCenter: 400.9 120.3 -306
DataDimension: 689 393 200
Id X Y Z T Precursors Lineage CellFile Layer DivType
118 333.398 165.408 124 300 "{5566,5,41,46}" 5566 0 6 -
119 330.707 155.988 134 239 "{5566,5,41,46}" 5566 0 7 -
119 334.744 160.025 136 300 "{5566,5,41,46}" 5566 0 7 -
120 328.688 158.679 117 182 "{5566,5,41,47}" 5566 0 2 -
120 330.707 174.155 110 256 "{5566,5,41,47}" 5566 0 2 1
121 337.435 174.828 124 182 "{5566,5,41,47}" 5566 0 2 -
121 335.417 195.686 121 272 "{5566,5,41,47}" 5566 0 2 1
122 351.565 158.679 145 225 "{9910,9,25,62}" 9910 1 7 -
122 357.621 157.334 148 300 "{9910,9,25,62}" 9910 1 7 -
123 354.929 162.717 140 225 "{9910,9,25,62}" 9910 1 6 -
123 369.059 168.099 139 283 "{9910,9,25,62}" 9910 1 6 1
124 346.182 182.229 149 183 "{11,27,67}" 11 2 2 -
124 348.201 191.649 150 248 "{11,27,67}" 11 2 2 1
125 344.164 164.062 149 183 "{11,27,67}" 11 2 3 -
125 347.528 174.155 152 273 "{11,27,67}" 11 2 3 2
126 445.764 151.278 157 232 "{11,28,72}" 11 2 3 -
126 475.37 159.352 157 300 "{11,28,72}" 11 2 3 -
127 422.214 157.334 157 232 "{11,28,72}" 11 2 3 -
127 408.757 166.754 155 300 "{11,28,72}" 11 2 3 -
128 501.611 144.55 145 61 "{9910,10}" 9910 1 1 -
128 539.963 135.13 148 139 "{9910,10}" 9910 1 1 0
129 474.697 147.914 145 61 "{9910,10}" 9910 1 1 -
129 459.221 149.932 143 145 "{9910,10}" 9910 1 1 1
130 461.913 154.642 144 146 "{9910,10,129}" 9910 1 2 -
130 457.875 160.698 139 220 "{9910,10,129}" 9910 1 2 1
131 457.875 142.531 144 146 "{9910,10,129}" 9910 1 3 -
131 459.894 141.185 148 256 "{9910,10,129}" 9910 1 3 0
132 456.53 154.642 140 221 "{9910,10,129,130}" 9910 1 5 -
132 463.931 167.427 139 300 "{9910,10,129,130}" 9910 1 5 -
133 463.258 172.136 140 221 "{9910,10,129,130}" 9910 1 4 -
133 469.987 186.266 139 291 "{9910,10,129,130}" 9910 1 4 0
135 553.42 134.457 149 140 "{9910,10,128}" 9910 1 1 -
135 625.416 131.765 153 300 "{9910,10,128}" 9910 1 1 -
136 526.506 137.821 149 140 "{9910,10,128}" 9910 1 1 -
