DataRotation: 92 0 16
RootCenter: 315.6 117.3 -130.8
DataDimension: 682 406 130
Id X Y Z T Precursors Lineage CellFile Layer DivType
116 210.128 207.361 60 338 "{4,102,104,105,112,114}" 4 -1 4 -
116 208.13 204.031 61 350 "{4,102,104,105,112,114}" 4 -1 4 -
117 236.103 214.021 62 314 "{4,102,104,105,112,113}" 4 -1 4 -
117 232.106 208.693 63 350 "{4,102,104,105,112,113}" 4 -1 4 -
118 237.435 228.007 62 314 "{4,102,104,105,112,113}" 4 -1 3 -
118 236.103 228.673 60 350 "{4,102,104,105,112,113}" 4 -1 3 -
119 228.776 175.392 66 301 "{4,102,104,105,111}" 4 -1 6 -
119 229.442 172.062 65 350 "{4,102,104,105,111}" 4 -1 6 -
120 228.11 194.041 66 301 "{4,102,104,105,111}" 4 -1 5 -
120 229.442 190.044 65 350 "{4,102,104,105,111}" 4 -1 5 -
121 276.729 159.408 56 115 "{4,102,103}" 4 -1 2 -
121 270.735 158.742 59 178 "{4,102,103}" 4 -1 2 0
122 284.722 180.054 56 115 "{4,102,103}" 4 -1 1 -
122 279.394 185.382 57 168 "{4,102,103}" 4 -1 1 0
123 287.386 180.72 57 169 "{4,102,103,122}" 4 -1 1 -
123 294.046 195.373 61 221 "{4,102,103,122}" 4 -1 1 1
124 268.737 188.712 57 169 "{4,102,103,122}" 4 -1 1 -
124 266.739 195.373 57 222 "{4,102,103,122}" 4 -1 1 1
125 266.739 184.05 57 223 "{4,102,103,122,124}" 4 -1 4 -
125 259.413 210.691 60 350 "{4,102,103,122,124}" 4 -1 4 -
126 272.733 202.699 57 223 "{4,102,103,122,124}" 4 -1 3 -
126 270.069 216.019 55 286 "{4,102,103,122,124}" 4 -1 3 2
127 272.733 209.359 53 287 "{4,102,103,122,124,126}" 4 -1 3 -
127 274.065 211.357 48 350 "{4,102,103,122,124,126}" 4 -1 3 -
128 267.405 224.011 57 287 "{4,102,103,122,124,126}" 4 -1 3 -
128 264.075 234.001 62 350 "{4,102,103,122,124,126}" 4 -1 3 -
129 292.048 187.38 61 222 "{4,102,103,122,123}" 4 -1 4 -
129 288.718 208.693 65 307 "{4,102,103,122,123}" 4 -1 4 2
130 297.376 204.031 61 222 "{4,102,103,122,123}" 4 -1 3 -
130 292.714 226.009 64 286 "{4,102,103,122,123}" 4 -1 3 2
131 296.71 223.345 61 287 "{4,102,103,122,123,130}" 4 -1 3 -
131 300.04 232.003 58 350 "{4,102,103,122,123,130}" 4 -1 3 -
132 287.386 230.005 66 287 "{4,102,103,122,123,130}" 4 -1 3 -
132 288.718 241.328 73 350 "{4,102,103,122,123,130}" 4 -1 3 -
133 292.048 202.699 61 308 "{4,102,103,122,123,129}" 4 -1 4 -
133 296.044 210.691 60 350 "{4,102,103,122,123,129}" 4 -1 4 -
134 284.056 212.023 68 308 "{4,102,103,122,123,129}" 4 -1 4 -
134 284.056 220.681 70 350 "{4,102,103,122,123,129}" 4 -1 4 -
135 282.724 156.744 59 179 "{4,102,103,121}" 4 -1 2 -
135 286.054 176.724 61 319 "{4,102,103,121}" 4 -1 2 1
136 261.411 163.404 59 179 "{4,102,103,121}" 4 -1 2 -
136 259.413 176.724 64 251 "{4,102,103,121}" 4 -1 2 1
137 258.747 170.73 64 252 "{4,102,103,121,136}" 4 -1 6 -
